Char,夏漢字典序號,Sofronov序號,四角號碼,Unicode,龔煌城,龔勛202411,英文釋義,龔煌城釋義
𗹦,3513,1273,2804 50,U+17E66,mə,mə̱¹,sky; heaven,天
𗼻,2627,4023,2342 20,U+17F3B,ljɨ̣,lləh²,land; soil,地、陸
𗯨,4713,2479,8021 40,U+17BE8,rjur,rur¹,world; capital city,世
𗐯,4719,1882,8021 42,U+1742F,kiẹj,qae̱h²,boundary,界(借詞)
𗂥,1926,1607,2101 42,U+170A5,ŋjij,ne²,before,久
𗾔,2449,5728,2240 80,U+17F94,be,bi̱²,the sun,日
𗼑,2814,3313,2481 22,U+17F11,lhjị,lhih²,the moon,"月 moon, month"
𗉘,1374,5540,1744 24,U+17258,tśhjɨ,tśhə¹,a pronoun,彼、他、爾、是 that
𘝨,4861,2612,8040 00,U+18768,zjọ,zoh²,time,時 then
𗜓,4184,0909,5024 22,U+17713,śja,śa²,to appear; to show; to sparkle,現
𗭼,5120,2245,8122 24,U+17B7C,swew,swi̱w¹,bright; brilliant; light,明、光
𗤼,2491,3456,2244 40,U+1793C,na,na̱¹,night; darkness,夜；暗、闇 night
𗂈,2920,1564,2701 40,U+17088,źjɨ̣,źəh¹,left side,左 left
𗼛,2547,3303,2284 22,U+17F1B,tśier,rtṣai̱r¹,right side,右 right
𘚢,0762,0468,1421 42,U+186A2,dźiej,dẓae̱²,wheel,輪、旋
𗉅,0618,5505,1270 48,U+17245,tsja,tsa¹,hot,熱 hot
𗎒,4052,0617,4471 40,U+17392,dạ,da̱h²,cold,寒、冷
𗨁,2612,3709,2341 22,U+17A01,phju,phu²,up; above; over,長；上；一
𗤢,3791,3591,2942 25,U+17922,bji̱,bi²,below; down,下
𗖠,1507,4640,1772 40,U+175A0,ŋwej,ŋwe̱²,harmonious; mild,和、睦、調和、順、合
𘋠,5932,1771,9724 52,U+182E0,mə,mə̱²,kind; sort; type,種
𘔮,0981,1136,1721 52,U+1852E,ˑwar,rġhwa̱r²,wealth; property,物 thing*
𗼴,2218,3985,2142 40,U+17F34,ljịj,lleh¹,seedling,乙
𗵆,0113,0177,1042 48,U+17D46,śjɨj,śeṃ¹,to accomplish,成
